index,forgetting_events,index_info
378,1.0,"(3, 78)"
379,3.0,"(3, 79)"
380,5.0,"(3, 80)"
381,2.0,"(3, 81)"
382,6.0,"(3, 82)"
383,2.0,"(3, 83)"
384,4.0,"(3, 84)"
385,10.0,"(3, 85)"
386,6.0,"(3, 86)"
387,4.0,"(3, 87)"
388,9.0,"(3, 88)"
389,3.0,"(3, 89)"
390,1.0,"(3, 90)"
391,4.0,"(3, 91)"
392,3.0,"(3, 92)"
393,8.0,"(3, 93)"
394,8.0,"(3, 94)"
395,8.0,"(3, 95)"
396,6.0,"(3, 96)"
397,10.0,"(3, 97)"
398,9.0,"(3, 98)"
399,7.0,"(3, 99)"
400,9.223372036854776e+18,"(4, 0)"
401,9.0,"(4, 1)"
402,8.0,"(4, 2)"
403,5.0,"(4, 3)"
404,3.0,"(4, 4)"
405,6.0,"(4, 5)"
406,7.0,"(4, 6)"
407,6.0,"(4, 7)"
408,3.0,"(4, 8)"
409,8.0,"(4, 9)"
410,3.0,"(4, 10)"
411,9.223372036854776e+18,"(4, 11)"
412,6.0,"(4, 12)"
413,3.0,"(4, 13)"
414,7.0,"(4, 14)"
415,10.0,"(4, 15)"
416,7.0,"(4, 16)"
417,1.0,"(4, 17)"
418,1.0,"(4, 18)"
419,12.0,"(4, 19)"
420,8.0,"(4, 20)"
421,4.0,"(4, 21)"
422,7.0,"(4, 22)"
423,1.0,"(4, 23)"
424,10.0,"(4, 24)"
425,10.0,"(4, 25)"
426,9.0,"(4, 26)"
427,2.0,"(4, 27)"
428,9.0,"(4, 28)"
429,8.0,"(4, 29)"
430,9.0,"(4, 30)"
431,11.0,"(4, 31)"
432,1.0,"(4, 32)"
433,1.0,"(4, 33)"
434,10.0,"(4, 34)"
435,3.0,"(4, 35)"
436,9.0,"(4, 36)"
437,3.0,"(4, 37)"
438,5.0,"(4, 38)"
439,11.0,"(4, 39)"
440,10.0,"(4, 40)"
441,8.0,"(4, 41)"
442,3.0,"(4, 42)"
443,10.0,"(4, 43)"
444,12.0,"(4, 44)"
445,3.0,"(4, 45)"
446,8.0,"(4, 46)"
447,6.0,"(4, 47)"
448,1.0,"(4, 48)"
449,3.0,"(4, 49)"
450,1.0,"(4, 50)"
451,7.0,"(4, 51)"
452,1.0,"(4, 52)"
453,9.0,"(4, 53)"
454,1.0,"(4, 54)"
455,6.0,"(4, 55)"
456,10.0,"(4, 56)"
457,7.0,"(4, 57)"
