index,forgetting_events,index_info
293,3.0,"(2, 93)"
294,21.0,"(2, 94)"
295,5.0,"(2, 95)"
296,1.0,"(2, 96)"
297,20.0,"(2, 97)"
298,14.0,"(2, 98)"
299,22.0,"(2, 99)"
300,6.0,"(3, 0)"
301,2.0,"(3, 1)"
302,23.0,"(3, 2)"
303,2.0,"(3, 3)"
304,4.0,"(3, 4)"
305,20.0,"(3, 5)"
306,6.0,"(3, 6)"
307,2.0,"(3, 7)"
308,14.0,"(3, 8)"
309,4.0,"(3, 9)"
310,9.223372036854776e+18,"(3, 10)"
311,5.0,"(3, 11)"
312,6.0,"(3, 12)"
313,3.0,"(3, 13)"
314,16.0,"(3, 14)"
315,13.0,"(3, 15)"
316,5.0,"(3, 16)"
317,5.0,"(3, 17)"
318,26.0,"(3, 18)"
319,13.0,"(3, 19)"
320,13.0,"(3, 20)"
321,13.0,"(3, 21)"
322,8.0,"(3, 22)"
323,16.0,"(3, 23)"
324,17.0,"(3, 24)"
325,9.0,"(3, 25)"
326,19.0,"(3, 26)"
327,16.0,"(3, 27)"
328,4.0,"(3, 28)"
329,10.0,"(3, 29)"
330,15.0,"(3, 30)"
331,13.0,"(3, 31)"
332,14.0,"(3, 32)"
333,21.0,"(3, 33)"
334,23.0,"(3, 34)"
335,22.0,"(3, 35)"
336,14.0,"(3, 36)"
337,5.0,"(3, 37)"
338,4.0,"(3, 38)"
339,17.0,"(3, 39)"
340,20.0,"(3, 40)"
341,7.0,"(3, 41)"
342,20.0,"(3, 42)"
343,9.0,"(3, 43)"
344,14.0,"(3, 44)"
345,21.0,"(3, 45)"
346,18.0,"(3, 46)"
347,16.0,"(3, 47)"
348,20.0,"(3, 48)"
349,3.0,"(3, 49)"
350,27.0,"(3, 50)"
351,0.0,"(3, 51)"
352,10.0,"(3, 52)"
353,25.0,"(3, 53)"
354,2.0,"(3, 54)"
355,19.0,"(3, 55)"
356,9.223372036854776e+18,"(3, 56)"
357,9.0,"(3, 57)"
358,10.0,"(3, 58)"
359,10.0,"(3, 59)"
360,8.0,"(3, 60)"
361,1.0,"(3, 61)"
362,16.0,"(3, 62)"
363,11.0,"(3, 63)"
364,16.0,"(3, 64)"
365,7.0,"(3, 65)"
366,2.0,"(3, 66)"
367,8.0,"(3, 67)"
368,22.0,"(3, 68)"
369,2.0,"(3, 69)"
370,24.0,"(3, 70)"
371,11.0,"(3, 71)"
372,17.0,"(3, 72)"
373,20.0,"(3, 73)"
374,12.0,"(3, 74)"
375,21.0,"(3, 75)"
376,16.0,"(3, 76)"
377,24.0,"(3, 77)"
378,4.0,"(3, 78)"
379,6.0,"(3, 79)"
380,20.0,"(3, 80)"
381,7.0,"(3, 81)"
382,13.0,"(3, 82)"
383,3.0,"(3, 83)"
384,16.0,"(3, 84)"
385,23.0,"(3, 85)"
386,15.0,"(3, 86)"
387,3.0,"(3, 87)"
388,15.0,"(3, 88)"
389,9.0,"(3, 89)"
390,7.0,"(3, 90)"
391,5.0,"(3, 91)"
392,2.0,"(3, 92)"
393,16.0,"(3, 93)"
394,7.0,"(3, 94)"
395,16.0,"(3, 95)"
396,22.0,"(3, 96)"
397,27.0,"(3, 97)"
398,7.0,"(3, 98)"
399,21.0,"(3, 99)"
400,2.0,"(4, 0)"
401,12.0,"(4, 1)"
402,21.0,"(4, 2)"
403,4.0,"(4, 3)"
404,6.0,"(4, 4)"
405,8.0,"(4, 5)"
406,19.0,"(4, 6)"
407,19.0,"(4, 7)"
408,15.0,"(4, 8)"
409,24.0,"(4, 9)"
410,7.0,"(4, 10)"
411,2.0,"(4, 11)"
412,21.0,"(4, 12)"
413,4.0,"(4, 13)"
414,17.0,"(4, 14)"
415,18.0,"(4, 15)"
416,22.0,"(4, 16)"
417,4.0,"(4, 17)"
418,5.0,"(4, 18)"
419,22.0,"(4, 19)"
420,21.0,"(4, 20)"
421,17.0,"(4, 21)"
422,9.0,"(4, 22)"
423,5.0,"(4, 23)"
424,11.0,"(4, 24)"
425,20.0,"(4, 25)"
426,15.0,"(4, 26)"
427,7.0,"(4, 27)"
428,11.0,"(4, 28)"
429,15.0,"(4, 29)"
430,12.0,"(4, 30)"
431,16.0,"(4, 31)"
432,1.0,"(4, 32)"
433,5.0,"(4, 33)"
434,17.0,"(4, 34)"
435,8.0,"(4, 35)"
436,10.0,"(4, 36)"
437,8.0,"(4, 37)"
438,15.0,"(4, 38)"
439,19.0,"(4, 39)"
440,19.0,"(4, 40)"
441,15.0,"(4, 41)"
442,10.0,"(4, 42)"
443,22.0,"(4, 43)"
444,28.0,"(4, 44)"
445,6.0,"(4, 45)"
446,26.0,"(4, 46)"
447,15.0,"(4, 47)"
448,1.0,"(4, 48)"
449,12.0,"(4, 49)"
450,6.0,"(4, 50)"
451,15.0,"(4, 51)"
452,5.0,"(4, 52)"
453,20.0,"(4, 53)"
454,0.0,"(4, 54)"
455,12.0,"(4, 55)"
456,20.0,"(4, 56)"
457,19.0,"(4, 57)"
458,9.223372036854776e+18,"(4, 58)"
459,17.0,"(4, 59)"
460,15.0,"(4, 60)"
461,5.0,"(4, 61)"
462,14.0,"(4, 62)"
463,20.0,"(4, 63)"
464,0.0,"(4, 64)"
465,13.0,"(4, 65)"
466,18.0,"(4, 66)"
467,6.0,"(4, 67)"
468,3.0,"(4, 68)"
469,22.0,"(4, 69)"
470,15.0,"(4, 70)"
471,5.0,"(4, 71)"
472,3.0,"(4, 72)"
473,13.0,"(4, 73)"
474,20.0,"(4, 74)"
475,19.0,"(4, 75)"
476,11.0,"(4, 76)"
477,19.0,"(4, 77)"
478,20.0,"(4, 78)"
479,16.0,"(4, 79)"
480,4.0,"(4, 80)"
481,7.0,"(4, 81)"
482,16.0,"(4, 82)"
483,9.223372036854776e+18,"(4, 83)"
484,27.0,"(4, 84)"
485,16.0,"(4, 85)"
486,4.0,"(4, 86)"
487,9.0,"(4, 87)"
488,6.0,"(4, 88)"
489,15.0,"(4, 89)"
490,2.0,"(4, 90)"
491,15.0,"(4, 91)"
492,17.0,"(4, 92)"
493,16.0,"(4, 93)"
494,26.0,"(4, 94)"
495,21.0,"(4, 95)"
496,9.223372036854776e+18,"(4, 96)"
497,22.0,"(4, 97)"
498,20.0,"(4, 98)"
499,3.0,"(4, 99)"
500,16.0,"(5, 0)"
501,14.0,"(5, 1)"
502,3.0,"(5, 2)"
503,2.0,"(5, 3)"
504,23.0,"(5, 4)"
505,9.223372036854776e+18,"(5, 5)"
506,22.0,"(5, 6)"
507,20.0,"(5, 7)"
508,2.0,"(5, 8)"
509,18.0,"(5, 9)"
510,6.0,"(5, 10)"
511,9.0,"(5, 11)"
512,16.0,"(5, 12)"
513,11.0,"(5, 13)"
514,16.0,"(5, 14)"
515,10.0,"(5, 15)"
516,4.0,"(5, 16)"
517,26.0,"(5, 17)"
518,4.0,"(5, 18)"
519,15.0,"(5, 19)"
520,2.0,"(5, 20)"
521,22.0,"(5, 21)"
522,16.0,"(5, 22)"
523,11.0,"(5, 23)"
524,17.0,"(5, 24)"
525,2.0,"(5, 25)"
526,14.0,"(5, 26)"
527,6.0,"(5, 27)"
528,9.0,"(5, 28)"
529,0.0,"(5, 29)"
530,16.0,"(5, 30)"
531,13.0,"(5, 31)"
532,4.0,"(5, 32)"
533,2.0,"(5, 33)"
534,0.0,"(5, 34)"
535,6.0,"(5, 35)"
536,19.0,"(5, 36)"
537,21.0,"(5, 37)"
538,16.0,"(5, 38)"
539,11.0,"(5, 39)"
540,16.0,"(5, 40)"
541,22.0,"(5, 41)"
542,9.0,"(5, 42)"
543,11.0,"(5, 43)"
544,7.0,"(5, 44)"
545,16.0,"(5, 45)"
546,10.0,"(5, 46)"
547,6.0,"(5, 47)"
548,23.0,"(5, 48)"
549,9.223372036854776e+18,"(5, 49)"
550,9.0,"(5, 50)"
551,16.0,"(5, 51)"
552,25.0,"(5, 52)"
553,22.0,"(5, 53)"
554,0.0,"(5, 54)"
555,6.0,"(5, 55)"
556,18.0,"(5, 56)"
557,20.0,"(5, 57)"
558,7.0,"(5, 58)"
559,22.0,"(5, 59)"
560,7.0,"(5, 60)"
561,10.0,"(5, 61)"
562,12.0,"(5, 62)"
563,4.0,"(5, 63)"
564,14.0,"(5, 64)"
565,15.0,"(5, 65)"
566,0.0,"(5, 66)"
567,16.0,"(5, 67)"
568,11.0,"(5, 68)"
569,19.0,"(5, 69)"
570,20.0,"(5, 70)"
571,16.0,"(5, 71)"
572,11.0,"(5, 72)"
573,19.0,"(5, 73)"
574,0.0,"(5, 74)"
575,13.0,"(5, 75)"
576,1.0,"(5, 76)"
577,16.0,"(5, 77)"
578,3.0,"(5, 78)"
579,8.0,"(5, 79)"
580,7.0,"(5, 80)"
581,2.0,"(5, 81)"
582,23.0,"(5, 82)"
583,26.0,"(5, 83)"
584,8.0,"(5, 84)"
