index,forgetting_events
157,1.0
158,9.223372036854776e+18
159,9.223372036854776e+18
160,1.0
161,1.0
162,9.223372036854776e+18
163,9.223372036854776e+18
164,1.0
165,0.0
166,1.0
167,0.0
168,0.0
169,9.223372036854776e+18
170,9.223372036854776e+18
171,9.223372036854776e+18
172,1.0
173,9.223372036854776e+18
174,9.223372036854776e+18
175,9.223372036854776e+18
176,0.0
177,2.0
178,9.223372036854776e+18
179,9.223372036854776e+18
180,0.0
181,9.223372036854776e+18
182,0.0
183,9.223372036854776e+18
184,9.223372036854776e+18
185,9.223372036854776e+18
186,9.223372036854776e+18
187,0.0
188,1.0
189,9.223372036854776e+18
190,1.0
191,9.223372036854776e+18
192,1.0
193,0.0
194,1.0
195,1.0
196,1.0
197,9.223372036854776e+18
198,9.223372036854776e+18
199,9.223372036854776e+18
200,1.0
201,0.0
202,1.0
203,9.223372036854776e+18
204,0.0
205,0.0
206,0.0
207,9.223372036854776e+18
208,1.0
209,1.0
210,9.223372036854776e+18
211,9.223372036854776e+18
212,9.223372036854776e+18
213,0.0
214,0.0
215,9.223372036854776e+18
216,9.223372036854776e+18
217,9.223372036854776e+18
218,2.0
219,1.0
220,9.223372036854776e+18
221,2.0
222,1.0
223,9.223372036854776e+18
224,1.0
225,1.0
226,1.0
227,0.0
228,0.0
229,9.223372036854776e+18
230,9.223372036854776e+18
231,9.223372036854776e+18
232,1.0
233,9.223372036854776e+18
234,1.0
235,9.223372036854776e+18
236,1.0
237,9.223372036854776e+18
238,1.0
239,0.0
240,1.0
241,9.223372036854776e+18
242,1.0
243,1.0
244,1.0
245,1.0
246,0.0
247,2.0
248,0.0
249,1.0
250,9.223372036854776e+18
251,9.223372036854776e+18
252,0.0
253,9.223372036854776e+18
254,2.0
255,1.0
256,0.0
257,0.0
258,9.223372036854776e+18
259,0.0
260,1.0
261,9.223372036854776e+18
262,9.223372036854776e+18
263,1.0
264,1.0
265,9.223372036854776e+18
266,9.223372036854776e+18
267,1.0
268,0.0
269,1.0
270,0.0
271,2.0
272,9.223372036854776e+18
273,9.223372036854776e+18
274,2.0
275,0.0
276,0.0
277,1.0
278,0.0
279,9.223372036854776e+18
280,0.0
281,9.223372036854776e+18
282,9.223372036854776e+18
283,0.0
284,9.223372036854776e+18
285,1.0
286,9.223372036854776e+18
287,9.223372036854776e+18
288,0.0
289,0.0
290,1.0
291,0.0
292,1.0
293,9.223372036854776e+18
294,1.0
295,1.0
296,9.223372036854776e+18
297,2.0
298,1.0
299,9.223372036854776e+18
300,0.0
301,9.223372036854776e+18
302,9.223372036854776e+18
303,9.223372036854776e+18
304,0.0
305,0.0
306,9.223372036854776e+18
307,9.223372036854776e+18
308,9.223372036854776e+18
309,0.0
310,9.223372036854776e+18
311,0.0
312,0.0
313,1.0
314,9.223372036854776e+18
315,0.0
316,1.0
317,0.0
318,0.0
319,0.0
320,9.223372036854776e+18
321,9.223372036854776e+18
322,9.223372036854776e+18
323,9.223372036854776e+18
324,1.0
325,0.0
326,9.223372036854776e+18
327,1.0
328,0.0
329,9.223372036854776e+18
330,9.223372036854776e+18
331,9.223372036854776e+18
332,9.223372036854776e+18
333,9.223372036854776e+18
334,9.223372036854776e+18
335,1.0
336,9.223372036854776e+18
337,9.223372036854776e+18
338,9.223372036854776e+18
339,9.223372036854776e+18
340,1.0
341,1.0
342,9.223372036854776e+18
343,0.0
344,2.0
345,0.0
346,9.223372036854776e+18
347,0.0
348,0.0
349,0.0
350,9.223372036854776e+18
351,0.0
352,9.223372036854776e+18
353,1.0
354,0.0
355,2.0
356,9.223372036854776e+18
357,9.223372036854776e+18
358,9.223372036854776e+18
359,9.223372036854776e+18
360,1.0
361,1.0
362,1.0
363,0.0
364,9.223372036854776e+18
365,0.0
366,1.0
367,9.223372036854776e+18
368,1.0
369,9.223372036854776e+18
370,0.0
371,1.0
372,0.0
373,1.0
374,1.0
375,9.223372036854776e+18
376,9.223372036854776e+18
377,9.223372036854776e+18
378,9.223372036854776e+18
379,2.0
380,1.0
381,9.223372036854776e+18
382,2.0
383,1.0
384,9.223372036854776e+18
385,9.223372036854776e+18
386,9.223372036854776e+18
387,1.0
388,1.0
389,9.223372036854776e+18
390,9.223372036854776e+18
391,0.0
392,9.223372036854776e+18
393,9.223372036854776e+18
394,9.223372036854776e+18
395,0.0
396,9.223372036854776e+18
397,0.0
398,2.0
399,9.223372036854776e+18
400,1.0
401,9.223372036854776e+18
402,1.0
403,1.0
404,0.0
405,9.223372036854776e+18
406,9.223372036854776e+18
407,9.223372036854776e+18
408,9.223372036854776e+18
409,1.0
410,9.223372036854776e+18
411,1.0
412,1.0
413,9.223372036854776e+18
414,9.223372036854776e+18
415,1.0
416,9.223372036854776e+18
417,0.0
418,0.0
419,1.0
420,1.0
421,9.223372036854776e+18
422,0.0
423,1.0
424,1.0
425,9.223372036854776e+18
426,1.0
427,0.0
428,0.0
429,9.223372036854776e+18
430,0.0
431,1.0
432,0.0
433,1.0
434,0.0
435,1.0
436,0.0
437,0.0
438,1.0
439,1.0
440,1.0
441,1.0
442,1.0
443,1.0
444,1.0
445,9.223372036854776e+18
446,9.223372036854776e+18
447,0.0
448,9.223372036854776e+18
449,9.223372036854776e+18
450,9.223372036854776e+18
451,9.223372036854776e+18
452,0.0
453,0.0
454,0.0
455,0.0
456,1.0
457,1.0
458,9.223372036854776e+18
459,2.0
